date,adj_close,close,high,low,open,volume,short_ma,long_ma,signal,position,buy_signal,sell_signal,rsi,rsi_signal,rsi_buy_signal,rsi_sell_signal
2024-09-17,1.1129536628723145,1.1129536628723145,1.1146159172058105,1.1113086938858032,1.1129536628723145,0,1.1069292545318603,1.1055206060409546,0,0.0,0,0,59.81301874749503,0,0,0
2024-09-18,1.1123099327087402,1.1123099327087402,1.1140819787979126,1.110913634300232,1.1123099327087402,0,1.1076715588569641,1.1061768849690756,0,0.0,0,0,58.903872467900136,0,0,0
2024-09-19,1.1114816665649414,1.1114816665649414,1.118067979812622,1.107051968574524,1.1114816665649414,0,1.1080151796340942,1.1067991892496745,0,0.0,0,0,57.68886000037517,0,0,0
2024-09-20,1.1161960363388062,1.1161960363388062,1.1181679964065552,1.1137346029281616,1.1161960363388062,0,1.108523666858673,1.1076199889183045,0,0.0,0,0,62.43808776675515,0,0,0
2024-09-23,1.1160838603973389,1.1160838603973389,1.1168192625045776,1.1084877252578735,1.1160838603973389,0,1.1092599272727965,1.1084434072176614,0,0.0,0,0,62.259014286216235,0,0,0
2024-09-24,1.1111727952957153,1.1111727952957153,1.1163455247879028,1.1103955507278442,1.1111727952957153,0,1.1100019335746765,1.1090283274650574,0,0.0,0,0,54.84310562429963,0,0,0
2024-09-25,1.1191190481185913,1.1191190481185913,1.1212396621704102,1.1141688823699951,1.1191190481185913,0,1.1117040038108825,1.1096756736437479,0,0.0,0,0,62.604693808824294,0,0,0
2024-09-26,1.1131023168563843,1.1131023168563843,1.118956208229065,1.112681269645691,1.1131023168563843,0,1.1129051208496095,1.1100683649381002,0,0.0,0,0,54.90891913057905,0,0,0
2024-09-27,1.117717981338501,1.117717981338501,1.1199839115142822,1.1126564741134644,1.117717981338501,0,1.1138981461524964,1.110749856630961,0,0.0,0,0,59.065995317774224,0,0,0
2024-09-30,1.1169815063476562,1.1169815063476562,1.1208375692367554,1.1136106252670288,1.1169815063476562,0,1.114711880683899,1.111232594648997,0,0.0,0,0,58.1448731782718,0,0,0
2024-10-01,1.113660216331482,1.113660216331482,1.1145787239074707,1.1061090230941772,1.113660216331482,0,1.1147825360298156,1.1113996863365174,0,0.0,0,0,54.051153150036605,0,0,0
2024-10-02,1.1063904762268066,1.1063904762268066,1.108217477798462,1.1034117937088013,1.1063904762268066,0,1.1141905903816223,1.1111862778663635,0,0.0,0,0,46.35763853262702,0,0,0
2024-10-03,1.1048502922058105,1.1048502922058105,1.1048502922058105,1.1009578704833984,1.1048502922058105,0,1.1135274529457093,1.1108300844828287,0,0.0,0,0,44.899496913209326,0,0,0
2024-10-04,1.103557825088501,1.103557825088501,1.1039965152740479,1.0956143140792847,1.103557825088501,0,1.1122636318206787,1.1105581323305767,0,0.0,0,0,43.65847754093628,0,0,0
2024-10-07,1.0974539518356323,1.0974539518356323,1.0985027551651,1.095554232597351,1.0974539518356323,0,1.110400640964508,1.1098468144734701,0,0.0,0,0,38.277606898430236,0,0,0
2024-10-08,1.0975743532180786,1.0975743532180786,1.0997470617294312,1.096166729927063,1.0975743532180786,0,1.1090407967567444,1.1092169562975565,-1,0.0,0,1,38.43878343099352,0,0,0
2024-10-09,1.0975743532180786,1.0975743532180786,1.098056435585022,1.094067931175232,1.0975743532180786,0,1.1068863272666931,1.1085429986317952,0,0.0,0,0,38.438783430993524,0,0,0
2024-10-10,1.0943313837051392,1.0943313837051392,1.095446228981018,1.0914051532745361,1.0943313837051392,0,1.1050092339515687,1.1079375267028808,0,0.0,0,0,35.53974409787767,0,0,0
2024-10-11,1.0933860540390015,1.0933860540390015,1.0954222679138184,1.0927408933639526,1.0933860540390015,0,1.1025760412216186,1.1074488798777262,0,0.0,0,0,34.7177639583131,0,0,0
2024-10-14,1.0925379991531372,1.0925379991531372,1.0939722061157227,1.0905719995498657,1.0925379991531372,0,1.1001316905021667,1.1070506731669107,0,0.0,0,0,33.95896482181216,0,0,0
2024-10-15,1.0909169912338257,1.0909169912338257,1.0918222665786743,1.0885775089263916,1.0909169912338257,0,1.097857367992401,1.106523052851359,0,0.0,0,0,32.49691208931122,0,0,0
2024-10-16,1.0884116888046265,1.0884116888046265,1.0901559591293335,1.0868147611618042,1.0884116888046265,0,1.0960594892501831,1.1059738794962566,0,0.0,0,0,30.323941024312504,0,0,0
2024-10-17,1.0862481594085693,1.0862481594085693,1.0869920253753662,1.0813850164413452,1.0862481594085693,0,1.094199275970459,1.1052473028500875,0,0.0,0,0,28.548591537458876,1,1,0
2024-10-18,1.0829542875289917,1.0829542875289917,1.0863661766052246,1.0828253030776978,1.0829542875289917,0,1.0921389222145081,1.1043087402979532,0,0.0,0,0,26.04821839316088,0,0,0
2024-10-21,1.0868619680404663,1.0868619680404663,1.08695650100708,1.0821105241775513,1.0868619680404663,0,1.0910797238349914,1.1035800973574321,0,0.0,0,0,33.490419122327,0,0,0
2024-10-22,1.0817828178405762,1.0817828178405762,1.0837758779525757,1.0801936388015747,1.0817828178405762,0,1.0895005702972411,1.1028477668762207,0,0.0,0,0,29.355233844958065,1,1,0
2024-10-23,1.079727053642273,1.079727053642273,1.0808473825454712,1.0762641429901123,1.079727053642273,0,1.0877158403396607,1.1021020571390787,0,0.0,0,0,27.856030490334206,0,0,0
2024-10-24,1.0780508518218994,1.0780508518218994,1.0810226202011108,1.0771567821502686,1.0780508518218994,0,1.0860877871513366,1.1013340473175048,0,0.0,0,0,26.660446443254827,0,0,0
2024-10-25,1.0824151039123535,1.0824151039123535,1.0842459201812744,1.081186294555664,1.0824151039123535,0,1.0849906921386718,1.100488293170929,0,0.0,0,0,34.538437017576854,0,0,0
2024-10-28,1.0796570777893066,1.0796570777893066,1.0827198028564453,1.078271746635437,1.0796570777893066,0,1.083702600002289,1.0995153903961181,0,0.0,0,0,32.185498066484016,0,0,0
2024-10-29,1.0816774368286133,1.0816774368286133,1.0826259851455688,1.077040672302246,1.0816774368286133,0,1.0827786445617675,1.0984728495279947,0,0.0,0,0,35.64418033910282,0,0,0
2024-10-30,1.0820636749267578,1.0820636749267578,1.0866730213165283,1.0809992551803589,1.0820636749267578,0,1.0821438431739807,1.097464640935262,0,0.0,0,0,36.31291022691418,0,0,0
2024-10-31,1.0859178304672241,1.0859178304672241,1.0888383388519287,1.0845046043395996,1.0859178304672241,0,1.0821108102798462,1.0966125130653381,0,0.0,0,0,42.71023977202121,0,0,0
2024-11-01,1.0886130332946777,1.0886130332946777,1.0904054641723633,1.084845781326294,1.0886130332946777,0,1.0826766848564149,1.0956930796305338,0,0.0,0,0,46.73927696628815,0,0,0
2024-11-04,1.087453007698059,1.087453007698059,1.0915838479995728,1.0870392322540283,1.087453007698059,0,1.082735788822174,1.0947387178738912,0,0.0,0,0,45.263787987119386,0,0,0
2024-11-05,1.0874056816101074,1.0874056816101074,1.0921800136566162,1.0873347520828247,1.0874056816101074,0,1.0832980751991272,1.0939464807510375,0,0.0,0,0,45.201094756309054,0,0,0
2024-11-06,1.093445897102356,1.093445897102356,1.0933382511138916,1.068376064300537,1.093445897102356,0,1.0846699595451355,1.0930907090504964,0,0.0,0,0,53.964944723180764,0,0,0
2024-11-07,1.073306918144226,1.073306918144226,1.082602620124817,1.0714094638824463,1.073306918144226,0,1.0841955661773681,1.0917641957600912,0,0.0,0,0,34.28001831393718,0,0,0
2024-11-08,1.0795172452926636,1.0795172452926636,1.0797386169433594,1.0710422992706299,1.0795172452926636,0,1.083905780315399,1.0904908378918965,0,0.0,0,0,41.38105521009104,0,0,0
2024-11-11,1.0714898109436035,1.0714898109436035,1.0728462934494019,1.0628799200057983,1.0714898109436035,0,1.0830890536308289,1.088974448045095,0,0.0,0,0,35.97076050169427,0,0,0
2024-11-12,1.066439151763916,1.066439151763916,1.0663481950759888,1.0597037076950073,1.066439151763916,0,1.081565225124359,1.0874004125595094,0,0.0,0,0,33.04349990736368,0,0,0
2024-11-13,1.061672568321228,1.061672568321228,1.0649060010910034,1.0559773445129395,1.061672568321228,0,1.0795261144638062,1.0859098156293234,0,0.0,0,0,30.519265596482413,0,0,0
2024-11-14,1.0564124584197998,1.0564124584197998,1.0580891370773315,1.0499238967895508,1.0564124584197998,0,1.0765755772590637,1.0842952211697896,0,0.0,0,0,27.979166291043327,1,1,0
2024-11-15,1.0530084371566772,1.0530084371566772,1.0591648817062378,1.052443265914917,1.0530084371566772,0,1.0730151176452636,1.0826102415720622,0,0.0,0,0,26.44523409757855,0,0,0
2024-11-18,1.0533745288848877,1.0533745288848877,1.0586491823196411,1.0531193017959595,1.0533745288848877,0,1.0696072697639465,1.081140927473704,0,0.0,0,0,26.909338428343702,0,0,0
